complaint_id,stored_cfpb_issue,stored_sub_issue,jev_choice,agreement,cfpb_issue_expressed,jev_issue_expressed,additional_parents_expressed,disagreement_class,evidence_snippets
23753407,Took or threatened to take negative or legal action,Seized or attempted to seize your property,Attempts to collect debt not owed,False,UNCLEAR,UNCLEAR,,D,want take money from me something i don't understand | when in bankruptcy
23754104,Written notification about debt,Didn't receive enough information to verify debt,Attempts to collect debt not owed,False,YES,YES,,B,I do not owe the balance that is being reported | failed to provide adequate verification of the debt despite my request
23754932,False statements or representation,Attempted to collect wrong amount,Attempts to collect debt not owed,False,YES,YES,Written notification about debt,B,Issue : Incorrect debt / Attempting to collect debt not owed | charges... appear unrelated to tenant-caused damages | failed to provide this documentation despite multiple requests
23755727,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,Written notification about debt,False,WEAK,YES,,C,"They can not produce a signed contract, billing statements, itemized charges | is reporting a XXXX account on my credit report"
23784965,Written notification about debt,Didn't receive enough information to verify debt,Attempts to collect debt not owed,False,YES,WEAK,,A,failed to provide documentation showing the actual date the account was closed | they have not provided documentation demonstrating that they have the legal right to collect
23786554,Attempts to collect debt not owed,Debt is not yours,Written notification about debt,False,WEAK,YES,,C,your claim is disputed and validation of the account is required | proof of claim that I am legally obligated to pay you
23790729,False statements or representation,"Impersonated attorney, law enforcement, or government official",Written notification about debt,False,YES,YES,,B,"the collection letter appears to misidentify the collectors legal entity | request written clarification of the exact legal name, license number"
23802255,Written notification about debt,Didn't receive enough information to verify debt,Attempts to collect debt not owed,False,YES,YES,,B,I never resided at this property. I do not recall ever executing a housing agreement | verified as accurate without any documentation being provided to me
23815177,Attempts to collect debt not owed,Debt is not yours,Written notification about debt,False,WEAK,YES,,C,your claim is disputed and validation of the account is required
23886008,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,Attempts to collect debt not owed,False,UNCLEAR,YES,False statements or representation,B,harassing about a contract I didn't sign with them | said balance is {$6200.00}. but original balance is {$4800.00}
23888120,False statements or representation,Attempted to collect wrong amount,Written notification about debt,False,YES,YES,,B,documents... do not provide the supporting documentation I requested for the individual charges | I have not received any response to my certified correspondence
23896552,False statements or representation,Attempted to collect wrong amount,Attempts to collect debt not owed,False,WEAK,YES,Written notification about debt,B,collection account... that I do not owe | They did not respond with any validation
23909590,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,False statements or representation,False,NO,YES,,C,"approx. {$48.00} of the {$110.00} was a "" Notice Fee ''"
23925909,Attempts to collect debt not owed,Debt is not yours,Written notification about debt,False,WEAK,YES,,C,your claim is disputed and validation of the account is required
24123458,False statements or representation,Attempted to collect wrong amount,Written notification about debt,False,YES,YES,,B,claimed verification... just XXXX days after my dispute. This timeline proves no real investigation occurred | I demand a complete validation of this debt
24174946,Attempts to collect debt not owed,Debt is not yours,Written notification about debt,False,WEAK,YES,,C,they send it back as accurate and they dont send me proved
24206598,False statements or representation,Attempted to collect wrong amount,Attempts to collect debt not owed,False,NO,YES,,C,I believe this account does not belong to me and may be the result of identity theft
24382663,Attempts to collect debt not owed,Debt was result of identity theft,Written notification about debt,False,WEAK,YES,,C,I requested that the accounts be validated... I have not received sufficient documentation
24395184,Attempts to collect debt not owed,Debt is not yours,Written notification about debt,False,WEAK,YES,,C,completely ignored my legal request and failed to provide any verification
24637449,False statements or representation,Attempted to collect wrong amount,Written notification about debt,False,WEAK,YES,,C,provide verification of the debt... if they can not validate
