complaint_id,narrative
23748025,I am under XXXX XXXX bankruptcy and equifax is refusing to abide by XXXX XXXX bankruptcy laws. The collection agency is also breaking bankruptcy laws by not abiding or following laws. I do have an automatic stay but the Collection agency is now trying to call me and harass me for the debt and already hurt my credit score. I will pursue a lawsuit with the collection agency and equifax for not following the law if they do not remove this from my credit report.
23753432,"This letter serves as a formal CEASE AND DESIST and DEMAND FOR DEBT VALIDATION pursuant XXXX my rights under the Fair Debt Collection Practices Act ( XXXX XXXX XXXX ) XXXX the Fair Credit Reporting Act ( XXXX XXXX. XXXX ). You are hereby instructed XXXX CEASE AND DESIST all forms of communication with me, my family, or my place of employment regarding the alleged debt referenced above until proper validation is provided. Your agency has not verified a legal right XXXX collect, report, or pursue action on this account without complete validation of ownership XXXX legal assignment. I demand the following documentation within XXXX calendar days : XXXX. XXXX signed contract or application bearing my signature. XXXX. Complete chain of title/assignment of the debt. XXXX. Bill of sale or purchase agreement showing ownership of the debt. XXXX. Itemized statement of all amounts claimed ( principal, interest, fees, XXXX charges ). XXXX. Your debt collector license number XXXX states in which you are licensed. XXXX. XXXX bond information if required by law. If you can not produce the requested documentation, I demand that collection efforts cease XXXX that any inaccurate credit reporting be corrected or removed as required by applicable law. I reserve all rights under the FDCPA XXXX FCRA XXXX reserve the right XXXX file complaints with the Consumer Financial Protection Bureau ( CFPB ), the Federal Trade Commission ( FTC ), my state attorney general, XXXX pursue any other remedies available under the law if necessary. Failure XXXX comply within XXXX calendar days XXXX result in further legal action."
23760406,A debt from radiology popped up that opened XX/XX/year> however during or before then I didnt not receive any services in that regard.
23763510,"I totaled my car and could not resolve this issue with the loan holder, and now I'm in collections"
23766823,"On XX/XX/scrub> 2026, I received a phone call from an individual ( XXXX XXXX ) who falsely represented himself as a member of the XXXX XXXX XXXX team. He claimed there were available rebates, grants, and energy programs, which led me to believe the info was legitimate. As a result of this deception, I agreed to have an AC system installed. The installation was completed, but XXXX XXXXXX/XX/XXXX XX/XX/XXXX sought payment of {$36000.00} for the work and arranged financing through XXXX XXXX XXXX XXXX. I did not knowingly agree to this finance under the circumstances presented to me. I have filed a complaint with XX/XX/XXXXXXXX XXXX office. The actual work was performed by XXXX XXXXXX/XX/XXXXXX/XX/XXXX, located in XXXX XXXX. XXXX XX/XX/XXXXhas since referred the balance to HF Holdings, a debt collection company in XXXX XXXX, and I am submitting this complaint to address the fraudulent circumstances surrounding the financing and collection of this debt. I believe I was the victim of a deceptive sales practice and fraudulent financing arrangement."
23768219,"I am filing a complaint against the collection agency for multiple violations of the federal Fair Debt Collection Practices Act ( FDCPA ) and the Texas Debt Collection Act ( TDCA ). The collector is aggressively pursuing a debt that does not belong to me and is the result of identity theft. Furthermore, even if the account were mine ( which it is not ), the alleged debt is too old to legally collect under my state 's laws. The collection agency is actively violating the following consumer protection laws : 1. Continued Collection on Known Fraud/Identity Theft Law Broken : FDCPA 1692e ( False or Misleading Representations ) and 1692f ( Unfair Practices ). Violation : The collector is attempting to collect an obligation that I do not legally owe. Under CFPB Circular 2023-1, continuing collection efforts and demanding payment on a debt resulting from identity theftespecially without supplying verifying documentationconstitutes a false representation of the character and legal status of the debt. 2. Failure to Provide Debt Verification Law Broken : FDCPA 1692g ( Validation of Debts ) and Texas Finance Code 392.202. Violation : The collector has failed to produce valid, granular account-origination documentation establishing that I incurred this debt. Under Texas law, they are required to cease active collection efforts if they can not verify the legitimacy or accuracy of the item in their file. 3. Unlawful Harassment and Abuse Law Broken : FDCPA 1692d and Texas Finance Code 392.302. Violation : The collector is engaging in continuous, oppressive, and harassing communication tactics to force payment on a disputed, unverified account. 4. Attempting to Collect a Time-Barred Debt Law Broken : Texas Civil Practice and Remedies Code 16.004 ( Statute of Limitations ). Violation : The alleged debt has surpassed the 4-year legal statute of limitations for credit card accounts in the State of Texas. Threatening legal action or applying unfair pressure on a time-barred debt that they have no legal ground to sue over is a deceptive practice. I demand that this agency cease and desist all communications, stop reporting this fraudulent account to the credit bureaus, and close the collection file immediately."
23770695,""" I am filing a complaint against the debt collection law firm XXXX XXXX for violating the FDCPA by using deceptive legal tactics and simulating legal process. This firm previously attempted an unlawful 'Notice of Garnishment ' against me without a valid judgment, which they were forced to remove. They are now attempting to force me to turn over my private banking and employment details using a 'Plaintiff 's Notice of Service of Fact Information Sheet ( Form 1.977 ). ' They are basing this on a XXXX order from a XX/XX/year> XXXX XXXX traffic court XXXX case. Traffic court citations do not result in standard civil money judgments and do not utilize Form 1.977. Furthermore, the XXXX deadline on the XXXX order expired over XXXX years ago. The firm has filed no Assignment of Judgment or Substitution of Counsel on the record. They are threatening me with civil court discovery mechanisms on an expired traffic ticket to illegally fish for my financial data, which constitutes a clear violation of 15 U.S.C. 1692e. ''"
23775448,"Complaint Against : IQ Data International , Inc. Regarding Case # : XXXX I am submitting this follow-up complaint because the response provided by IQ Data International, Inc. is insufficient , misleading, and fails to comply with federal law. IQ Data now claims they are not collecting on a judgment, but instead on alleged post-move-out charges such as repairs, utilities, and other lease-based amounts. However, they have still failed to provide any competent evidence that this debt is valid or that the amount is accurate. Their response relies solely on a statement that the client has confirmed the balance, which does not meet the legal standard for verification under the Fair Credit Reporting Act ( FCRA ) or validation under the Fair Debt Collection Practices Act ( FDCPA ). Additionally, IQ Data has failed to provide any of the following critical documents necessary to validate this alleged debt : * A signed lease agreement showing the specific provisions allowing these charges * An itemized final account statement sent after move-out * Move-out inspection reports * Photographic evidence of alleged damages * Repair invoices or receipts * Utility billing statements showing amounts owed Without this documentation, the debt is not verifiable and should not be reported."
23775479,"I am disputing charges related to a gym membership that I signed up for on XX/XX/XXXX. I initially signed up for a free trial at the gym. Before I was allowed to enter and view the facility, I was required to sign a membership contract and begin the membership process. After entering the gym and seeing the condition of the facility, I immediately decided I did not want to continue. The gym was in an unsanitary and unsafe condition. I observed broken machines, brown ceiling tiles, water dripping from the ceiling, and unsanitary conditions including cups, paper towels, and used/dirty restroom items left out in the facility. Due to these conditions and concerns regarding my health, I contacted the gym the same day to request cancellation. I contacted the gym through email, messaging, and by phone to explain that I wanted to cancel because of the condition of the facility and my health concerns. Despite my immediate request, the gym refused to honor the cancellation and only referred back to the contract. I did not use the gym after the trial visit and have been charged over {$300.00} for a membership/service I did not use. The gym advertises a {$79.00} buyout option for cancellation, but I was not offered that option or provided a reasonable resolution. I have attached documentation showing my communication with the gym regarding my cancellation request on the same day as the trial, as well as evidence supporting my concerns about the condition of the facility. I am requesting a review of these charges and asking that the company provide a fair resolution, including reversal of the charges or adjustment of the account based on the fact that I requested cancellation immediately, did not use the facility, and raised concerns about the condition of the premises. Thank you for your assistance."
23780919,"I am a victim of identity theft. An identity thief used my personal information without my permission to open an account and make purchases with XXXX XXXX XXXX XXXX. This debt is not mine. I have enclosed proof of my identity and a copy of my FTC Identity Theft Report. In accordance with the Fair Debt Collection Practices Act, I am asking you to stop collection proceedings against me and stop communicating with me about this debt, except as the Fair Credit Reporting Act allows. LVNV Funding LLC is attempting to collect approximately {$500.00} allegedly owed on a XXXX XXXX XXXX XXXX account. I dispute this debt in its entirety. I do not have any connections with this company and the reported address on the account."
