complaint_id,identity_theft,insufficient_validation,wrong_amount,credit_damage_threat,arrest_threat,sued_no_notice
23742973,NO,YES,YES,NO,NO,YES
23749812,NO,NO,NO,NO,NO,NO
23751113,NO,YES,NO,NO,NO,NO
23751836,NO,YES,NO,NO,NO,NO
23753228,NO,YES,NO,NO,NO,NO
23757329,NO,NO,YES,NO,NO,NO
23769743,NO,YES,NO,NO,NO,NO
23770285,NO,NO,NO,NO,NO,NO
23772695,NO,NO,NO,NO,NO,NO
23780592,NO,YES,YES,NO,NO,NO
23781005,NO,NO,NO,NO,NO,NO
23785219,NO,YES,NO,NO,NO,NO
23792322,NO,NO,NO,NO,NO,NO
23799909,YES,YES,NO,NO,NO,NO
23801242,NO,NO,NO,NO,NO,NO
23802705,YES,NO,NO,NO,NO,NO
23806029,NO,YES,NO,NO,NO,NO
23808686,NO,YES,NO,NO,NO,NO
23809022,NO,NO,NO,NO,NO,NO
23809938,NO,YES,NO,NO,NO,NO
23810354,YES,YES,NO,NO,NO,NO
23811581,NO,NO,NO,NO,NO,NO
23812904,NO,NO,NO,NO,NO,NO
23813041,NO,NO,NO,NO,NO,NO
23818430,NO,YES,NO,NO,NO,NO
23818433,NO,YES,NO,NO,NO,NO
23836672,NO,NO,NO,NO,NO,NO
23836960,NO,NO,NO,NO,NO,NO
23837766,NO,NO,NO,NO,NO,NO
23841412,YES,NO,NO,NO,NO,NO
23842277,NO,YES,NO,NO,NO,NO
23843558,NO,NO,NO,NO,NO,NO
23843672,NO,NO,NO,NO,NO,NO
23843927,NO,NO,YES,NO,NO,NO
23851209,NO,YES,NO,NO,NO,NO
23878954,NO,NO,NO,NO,NO,NO
23880267,NO,YES,YES,NO,NO,NO
23885354,NO,YES,NO,NO,NO,NO
23885496,NO,NO,NO,NO,NO,NO
23888241,NO,YES,YES,NO,NO,NO
23888302,NO,NO,YES,NO,NO,NO
23895552,NO,NO,NO,NO,NO,NO
23895642,NO,NO,YES,NO,NO,NO
23897657,YES,NO,NO,NO,NO,NO
23899536,YES,YES,YES,NO,NO,NO
23902251,NO,YES,NO,NO,NO,NO
23902676,NO,NO,NO,NO,NO,NO
23906063,NO,NO,NO,NO,NO,NO
23909415,NO,NO,NO,NO,NO,YES
23917815,NO,NO,NO,NO,NO,NO
23918008,NO,YES,NO,NO,NO,NO
23918406,NO,NO,NO,NO,NO,NO
23920803,NO,NO,NO,NO,NO,NO
23922066,NO,NO,NO,NO,NO,NO
23926520,NO,YES,YES,NO,NO,NO
23927087,NO,NO,YES,NO,NO,NO
23928612,YES,NO,NO,NO,NO,YES
23929675,NO,YES,NO,NO,NO,NO
23930429,NO,NO,YES,NO,NO,NO
23931324,NO,YES,YES,NO,NO,NO
23935113,NO,NO,NO,NO,NO,NO
23940087,NO,NO,YES,NO,NO,NO
23946671,NO,YES,NO,NO,NO,NO
23947963,NO,UNCLEAR,NO,NO,NO,NO
23952121,YES,YES,NO,NO,YES,NO
23953942,NO,NO,YES,NO,NO,NO
23957118,NO,YES,NO,NO,NO,NO
23957216,YES,NO,NO,NO,NO,NO
23963537,NO,YES,YES,NO,NO,NO
23963553,YES,YES,NO,NO,NO,NO
23967275,NO,NO,UNCLEAR,NO,NO,NO
23969431,NO,NO,NO,NO,NO,NO
23970296,NO,NO,NO,NO,NO,NO
23975992,NO,NO,YES,NO,NO,NO
23977545,YES,YES,NO,NO,NO,NO
23980035,YES,NO,NO,NO,NO,NO
23980149,NO,NO,NO,NO,NO,NO
23980857,NO,YES,NO,NO,NO,NO
23981310,NO,NO,NO,NO,NO,NO
23981401,NO,NO,NO,NO,NO,NO
23986256,NO,YES,NO,NO,NO,NO
23987832,YES,YES,NO,NO,NO,NO
23991829,NO,YES,NO,NO,NO,NO
23992726,NO,NO,YES,NO,NO,NO
23993378,NO,NO,YES,NO,NO,NO
23997754,NO,YES,NO,NO,NO,NO
23998736,NO,YES,NO,NO,NO,NO
24000236,NO,YES,NO,NO,NO,NO
24000267,YES,NO,NO,NO,NO,NO
24003456,NO,YES,NO,NO,NO,NO
24014932,NO,NO,NO,NO,NO,NO
24015303,NO,NO,NO,NO,NO,YES
24019437,NO,NO,NO,NO,NO,NO
24021284,NO,NO,NO,NO,NO,NO
24022001,NO,YES,NO,NO,NO,NO
24027967,NO,NO,NO,NO,YES,NO
24028396,NO,NO,NO,NO,NO,NO
24029798,NO,NO,YES,NO,NO,NO
24031798,NO,YES,NO,NO,NO,NO
24113077,NO,YES,YES,NO,NO,NO
24116329,NO,NO,NO,YES,NO,NO
24117666,YES,NO,NO,NO,NO,NO
24118676,NO,NO,NO,NO,NO,NO
24119830,NO,YES,NO,NO,NO,NO
24120432,YES,NO,NO,NO,NO,NO
24120775,NO,NO,YES,NO,NO,NO
24121004,NO,NO,NO,NO,NO,NO
24122299,NO,YES,NO,NO,NO,NO
24123936,NO,YES,NO,NO,NO,NO
24130915,NO,YES,NO,NO,NO,NO
24131786,NO,YES,YES,NO,NO,NO
24131825,NO,NO,NO,NO,NO,YES
24132447,NO,YES,NO,NO,NO,NO
24138982,NO,YES,NO,NO,NO,NO
24139746,NO,YES,NO,NO,NO,NO
24146290,NO,NO,YES,NO,NO,NO
24149677,NO,YES,NO,NO,NO,NO
24149801,NO,YES,NO,NO,NO,NO
24153136,NO,YES,NO,NO,NO,NO
24158982,NO,YES,NO,NO,NO,NO
24159807,NO,NO,NO,NO,NO,NO
24163846,YES,YES,YES,NO,NO,NO
24174947,NO,YES,NO,NO,NO,NO
24179179,NO,NO,NO,NO,NO,NO
24183041,NO,YES,NO,NO,NO,NO
24187692,NO,YES,NO,NO,NO,NO
24194106,NO,YES,YES,NO,NO,NO
24195747,NO,NO,YES,NO,NO,NO
24195781,NO,YES,YES,NO,NO,NO
24195946,NO,YES,NO,NO,NO,NO
24204993,NO,YES,YES,NO,NO,NO
24205559,NO,YES,NO,NO,NO,NO
24207792,YES,NO,NO,NO,NO,NO
24208206,NO,YES,NO,YES,NO,NO
24209311,NO,YES,NO,NO,NO,NO
24211610,NO,NO,YES,NO,NO,NO
24213711,NO,YES,NO,NO,NO,NO
24214067,NO,YES,NO,NO,NO,NO
24229587,NO,NO,NO,NO,NO,NO
24231918,NO,YES,NO,NO,NO,NO
24234155,NO,NO,YES,NO,NO,NO
24234244,NO,NO,YES,NO,NO,NO
24248020,NO,NO,NO,NO,NO,NO
24248282,NO,NO,NO,NO,NO,NO
24248514,NO,NO,NO,NO,NO,NO
24273439,NO,NO,NO,NO,NO,YES
24379057,NO,NO,YES,NO,NO,NO
24402201,NO,YES,YES,NO,NO,NO
24408170,NO,YES,NO,NO,NO,NO
24424146,NO,YES,NO,NO,NO,NO
24435171,NO,YES,NO,YES,NO,NO
24457180,NO,YES,NO,NO,NO,NO
24525867,NO,YES,NO,NO,NO,NO
24528862,NO,YES,NO,NO,NO,NO
24644353,NO,NO,YES,NO,NO,NO
24659738,NO,NO,NO,NO,NO,NO
24664654,NO,YES,NO,NO,NO,NO
24674081,NO,NO,YES,NO,NO,NO
24695585,NO,YES,YES,NO,NO,NO
24710617,NO,YES,NO,NO,NO,NO
24710681,NO,NO,YES,NO,NO,NO
24729674,NO,NO,YES,NO,NO,NO
