complaint_id,concept,annotator_1,annotator_2,adjudicated,reason
23781005,insufficient_validation,NO,YES,YES,"Complaint disputes the debt and demands documentation proving a legal obligation to pay (citing 1692g) with deletion requested if it cannot be verified, so the validation information has not been provided."
23813041,insufficient_validation,NO,YES,YES,"Letter is a formal request for full debt validation (signed agreement, itemized breakdown, proof of authority, creditor identity) that remains outstanding."
23836672,insufficient_validation,NO,YES,YES,"Person does not recognize the debt and requests validation, stating collection should cease until the information is provided, which means it has not been received."
23843558,insufficient_validation,NO,YES,YES,"Complaint is a combined dispute and validation request listing ten items of documentation needed to validate the debt, none of which have been received."
23843672,insufficient_validation,NO,YES,YES,"Person requests verification of the alleged debt and supporting documentation as part of a full investigation, and no such information has been provided."
23885496,insufficient_validation,NO,YES,YES,"Letter is explicitly a request for validation and documentation of the alleged debt listing items the collector has not produced."
23888302,insufficient_validation,NO,YES,NO,"Narrative concerns a paid account still furnished with a $150 balance and disputes inaccurate reporting; the person holds proof of payment and makes no unanswered request for debt information or validation."
23917815,insufficient_validation,NO,YES,YES,"Letter requests debt validation (creditor identity, itemized amount, proof of responsibility and authority) and asks that collection cease until the requested validation is provided."
23918406,insufficient_validation,NO,YES,YES,"Formal dispute demanding the signed agreement, complete itemization, and proof of authority, with the account disputed until the requested documentation is provided."
23922066,insufficient_validation,NO,YES,YES,"Person states they were never notified the collector took on the debt or that it would be credit-reported, so required notice and information about the debt was not received."
23947963,insufficient_validation,UNCLEAR,YES,YES,"Person requested a signed written agreement proving the debt via the Experian dispute and asked for removal if it cannot be provided, indicating the documentation was never furnished."
23952121,insufficient_validation,YES,NO,YES,"Person contacted the collector about an unrecognized debt and was hung up on, given the run around, and denied the right to dispute, so no debt information or validation was provided."
23970296,insufficient_validation,NO,YES,YES,"Person sent a letter invoking the right to creditor identity, exact amount, the agreement, and proof of authority, with collection to be paused until the information is provided."
23980149,insufficient_validation,NO,YES,YES,"Complaint disputes the account and requests documentation demonstrating legal responsibility, with deletion demanded if the account cannot be verified."
23981310,insufficient_validation,NO,YES,YES,"Formal demand for debt validation listing ten categories of documentation and directing that collection cease until such validation is furnished."
24000267,insufficient_validation,NO,YES,YES,"Person disputes the account in its entirety and requests competent evidence establishing legal responsibility, which has not been provided."
24159807,insufficient_validation,NO,YES,YES,"1692g notice disputing the claim and demanding proof of the amount, its computation, the agreement, and chain of title, none of which has been received."
24248020,insufficient_validation,NO,YES,YES,"1692g validation notice demanding the amount owed, how it was computed, agreements, creditor identity, and chain of title, with no validation received."
24248514,insufficient_validation,NO,YES,YES,"1692g validation notice disputing the claim and demanding documentation of the amount, computation, agreement, creditor identity, and ownership."
24659738,insufficient_validation,NO,YES,YES,"Letter formally disputes the debt and requests full validation documents (origin and balance breakdown, purchase agreement, licensing) before any further collection."
24729674,insufficient_validation,YES,NO,YES,"The collector demanded a $1 and then a $15 payment before it would pull the account information, so the person could not obtain the debt information without paying."
23899536,wrong_amount,YES,NO,YES,"Person disputes the $6900 and $450 transactions included in the claimed balance and demands proof anything was ordered or received, i.e., charges claimed to be never ordered."
23902676,wrong_amount,NO,YES,YES,"Person paid the original creditor directly and says Transworld no longer has a valid debt to collect or report on, a balance that should be zero because it was already paid."
24116329,wrong_amount,NO,YES,YES,"Person is asked to pay back a refund they explicitly did not ask for, a charge for something never ordered."
24729674,wrong_amount,YES,NO,YES,"Person paid the $130 yet the account still shows a balance, and the collector itself confirmed a $0.00 balance while demanding $300 to remove it, so the payment was not credited."
