complaint_id,concept,annotator_1,annotator_2,adjudicated,reason
23742973,identity_theft,NO,NO,NO,agreement
23742973,insufficient_validation,YES,YES,YES,agreement
23742973,wrong_amount,YES,YES,YES,agreement
23742973,credit_damage_threat,NO,NO,NO,agreement
23742973,arrest_threat,NO,NO,NO,agreement
23742973,sued_no_notice,YES,YES,YES,agreement
23749812,identity_theft,NO,NO,NO,agreement
23749812,insufficient_validation,NO,NO,NO,agreement
23749812,wrong_amount,NO,NO,NO,agreement
23749812,credit_damage_threat,NO,NO,NO,agreement
23749812,arrest_threat,NO,NO,NO,agreement
23749812,sued_no_notice,NO,NO,NO,agreement
23751113,identity_theft,NO,NO,NO,agreement
23751113,insufficient_validation,YES,YES,YES,agreement
23751113,wrong_amount,NO,NO,NO,agreement
23751113,credit_damage_threat,NO,NO,NO,agreement
23751113,arrest_threat,NO,NO,NO,agreement
23751113,sued_no_notice,NO,NO,NO,agreement
23751836,identity_theft,NO,NO,NO,agreement
23751836,insufficient_validation,YES,YES,YES,agreement
23751836,wrong_amount,NO,NO,NO,agreement
23751836,credit_damage_threat,NO,NO,NO,agreement
23751836,arrest_threat,NO,NO,NO,agreement
23751836,sued_no_notice,NO,NO,NO,agreement
23753228,identity_theft,NO,NO,NO,agreement
23753228,insufficient_validation,YES,YES,YES,agreement
23753228,wrong_amount,NO,NO,NO,agreement
23753228,credit_damage_threat,NO,NO,NO,agreement
23753228,arrest_threat,NO,NO,NO,agreement
23753228,sued_no_notice,NO,NO,NO,agreement
23757329,identity_theft,NO,NO,NO,agreement
23757329,insufficient_validation,NO,NO,NO,agreement
23757329,wrong_amount,YES,YES,YES,agreement
23757329,credit_damage_threat,NO,NO,NO,agreement
23757329,arrest_threat,NO,NO,NO,agreement
23757329,sued_no_notice,NO,NO,NO,agreement
23769743,identity_theft,NO,NO,NO,agreement
23769743,insufficient_validation,YES,YES,YES,agreement
23769743,wrong_amount,NO,NO,NO,agreement
23769743,credit_damage_threat,NO,NO,NO,agreement
23769743,arrest_threat,NO,NO,NO,agreement
23769743,sued_no_notice,NO,NO,NO,agreement
23770285,identity_theft,NO,NO,NO,agreement
23770285,insufficient_validation,NO,NO,NO,agreement
23770285,wrong_amount,NO,NO,NO,agreement
23770285,credit_damage_threat,NO,NO,NO,agreement
23770285,arrest_threat,NO,NO,NO,agreement
23770285,sued_no_notice,NO,NO,NO,agreement
23772695,identity_theft,NO,NO,NO,agreement
23772695,insufficient_validation,NO,NO,NO,agreement
23772695,wrong_amount,NO,NO,NO,agreement
23772695,credit_damage_threat,NO,NO,NO,agreement
23772695,arrest_threat,NO,NO,NO,agreement
23772695,sued_no_notice,NO,NO,NO,agreement
23780592,identity_theft,NO,NO,NO,agreement
23780592,insufficient_validation,YES,YES,YES,agreement
23780592,wrong_amount,YES,YES,YES,agreement
23780592,credit_damage_threat,NO,NO,NO,agreement
23780592,arrest_threat,NO,NO,NO,agreement
23780592,sued_no_notice,NO,NO,NO,agreement
23781005,identity_theft,NO,NO,NO,agreement
23781005,insufficient_validation,NO,YES,YES,"Complaint disputes the debt and demands documentation proving a legal obligation to pay (citing 1692g) with deletion requested if it cannot be verified, so the validation information has not been provided."
23781005,wrong_amount,NO,NO,NO,agreement
23781005,credit_damage_threat,NO,NO,NO,agreement
23781005,arrest_threat,NO,NO,NO,agreement
23781005,sued_no_notice,NO,NO,NO,agreement
23785219,identity_theft,NO,NO,NO,agreement
23785219,insufficient_validation,YES,YES,YES,agreement
23785219,wrong_amount,NO,NO,NO,agreement
23785219,credit_damage_threat,NO,NO,NO,agreement
23785219,arrest_threat,NO,NO,NO,agreement
23785219,sued_no_notice,NO,NO,NO,agreement
23792322,identity_theft,NO,NO,NO,agreement
23792322,insufficient_validation,NO,NO,NO,agreement
23792322,wrong_amount,NO,NO,NO,agreement
23792322,credit_damage_threat,NO,NO,NO,agreement
23792322,arrest_threat,NO,NO,NO,agreement
23792322,sued_no_notice,NO,NO,NO,agreement
23799909,identity_theft,YES,YES,YES,agreement
23799909,insufficient_validation,YES,YES,YES,agreement
23799909,wrong_amount,NO,NO,NO,agreement
23799909,credit_damage_threat,NO,NO,NO,agreement
23799909,arrest_threat,NO,NO,NO,agreement
23799909,sued_no_notice,NO,NO,NO,agreement
23801242,identity_theft,NO,NO,NO,agreement
23801242,insufficient_validation,NO,NO,NO,agreement
23801242,wrong_amount,NO,NO,NO,agreement
23801242,credit_damage_threat,NO,NO,NO,agreement
23801242,arrest_threat,NO,NO,NO,agreement
23801242,sued_no_notice,NO,NO,NO,agreement
23802705,identity_theft,YES,YES,YES,agreement
23802705,insufficient_validation,NO,NO,NO,agreement
23802705,wrong_amount,NO,NO,NO,agreement
23802705,credit_damage_threat,NO,NO,NO,agreement
