complaint_id,stored_cfpb_issue,stored_sub_issue,jev_choice,agreement,cfpb_issue_expressed,jev_issue_expressed,additional_parents_expressed,disagreement_class,evidence_snippets
23743424,False statements or representation,Attempted to collect wrong amount,Attempts to collect debt not owed,False,NO,WEAK,Written notification about debt,A,"This letter is not a refusal to pay, but a request for validation"
23818853,False statements or representation,Attempted to collect wrong amount,Attempts to collect debt not owed,False,NO,WEAK,Written notification about debt,A,"neither an acknowledgement of debt or a refusal to pay, but a notice to request validation"
23820539,False statements or representation,Attempted to collect wrong amount,Attempts to collect debt not owed,False,NO,WEAK,Written notification about debt,A,"This letter is not a refusal to pay, but a request for validation and verification"
23849950,Attempts to collect debt not owed,Debt is not yours,False statements or representation,False,WEAK,YES,Written notification about debt,B,reported that the disputed accounts were verified... without providing any underlying documentary evidence
23878796,Attempts to collect debt not owed,Debt was result of identity theft,False statements or representation,False,YES,YES,,B,PORTFOLIO is falsely reporting on my credit. I have never had any accounts with them
23880224,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,Written notification about debt,False,NO,YES,False statements or representation,C,I am not claiming these accounts never existed | without providing a meaningful written response... or clear documentation
23903859,Written notification about debt,Didn't receive notice of right to dispute,Attempts to collect debt not owed,False,YES,YES,,B,I do not recognize that | why they didnt give me a notice before sending me to collections
23943124,False statements or representation,"Impersonated attorney, law enforcement, or government official",Took or threatened to take negative or legal action,False,YES,YES,Written notification about debt,B,collection agency pretending to be a law firm | they were going to contact my employer... about to be sued
23945831,Took or threatened to take negative or legal action,Sued you in a state where you do not live or did not sign for the debt,Attempts to collect debt not owed,False,YES,YES,Written notification about debt,B,"the account had already been paid and/or resolved | threatened legal action, including stating or implying that they would sue me"
23989504,Attempts to collect debt not owed,Debt was paid,False statements or representation,False,YES,WEAK,Written notification about debt,A,"once the amount of {$230.00} was paid, the account was to be processed as "" paid/settled in full '' | failed to honor the agreement or provide the requested paperwork"
23996029,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,Attempts to collect debt not owed,False,YES,YES,,B,debt is not owed but will remain on credit report as a charge off
24018321,Written notification about debt,Didn't receive enough information to verify debt,Took or threatened to take negative or legal action,False,YES,NO,,A,without giving me the required validation info | I havent been given a chance to dispute the account
24158503,Attempts to collect debt not owed,Debt is not yours,False statements or representation,False,WEAK,WEAK,,D,VIOLATED MY FEDERALLY PROTECTED CONSUMER RIGHTS TO PRIVACY (FCRA boilerplate list of accounts)
24165848,Attempts to collect debt not owed,Debt was result of identity theft,False statements or representation,False,WEAK,WEAK,Written notification about debt,D,"request that XXXX conduct a reasonable investigation and verify that each item below is complete, accurate"
24192612,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,Attempts to collect debt not owed,False,WEAK,YES,Written notification about debt; False statements or representation,C,I dispute this debt in its entirety | Reporting information that can not be verified constitutes inaccurate reporting
24239444,Attempts to collect debt not owed,Debt is not yours,False statements or representation,False,WEAK,YES,,C,inaccurate and unverified information being reported... incorrect account statuses
24458474,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,Attempts to collect debt not owed,False,WEAK,YES,False statements or representation,C,I do not believe I am legally responsible for this alleged debt (not owner at time) | believe them to be forging documents
24464633,Attempts to collect debt not owed,Debt was result of identity theft,False statements or representation,False,YES,YES,,B,IC SYSTEM INC is falsely reporting on my credit. I have never had any accounts with them
24522820,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,Attempts to collect debt not owed,False,YES,YES,,B,appeared on my credit report and has decreased my credit score | I have no idea who it is
24738329,False statements or representation,Attempted to collect wrong amount,Attempts to collect debt not owed,False,NO,WEAK,Written notification about debt,A,"This is not a refusal to pay, but a formal notice that your claim is disputed"
