complaint_id,concept,annotator_1,annotator_2
23781005,insufficient_validation,NO,YES
23813041,insufficient_validation,NO,YES
23836672,insufficient_validation,NO,YES
23843558,insufficient_validation,NO,YES
23843672,insufficient_validation,NO,YES
23885496,insufficient_validation,NO,YES
23888302,insufficient_validation,NO,YES
23917815,insufficient_validation,NO,YES
23918406,insufficient_validation,NO,YES
23922066,insufficient_validation,NO,YES
23947963,insufficient_validation,UNCLEAR,YES
23952121,insufficient_validation,YES,NO
23970296,insufficient_validation,NO,YES
23980149,insufficient_validation,NO,YES
23981310,insufficient_validation,NO,YES
24000267,insufficient_validation,NO,YES
24159807,insufficient_validation,NO,YES
24248020,insufficient_validation,NO,YES
24248514,insufficient_validation,NO,YES
24659738,insufficient_validation,NO,YES
24729674,insufficient_validation,NO,YES
23899536,wrong_amount,YES,NO
23902676,wrong_amount,NO,YES
24116329,wrong_amount,NO,YES
24729674,wrong_amount,YES,NO
